user_id,req_id,ttft_ms,total_ms,tokens,tps,error,concurrency
0,0,13424.9,30999.1,1024,33.03,,1
0,1,1887.1,27022.8,962,35.6,,1
0,2,2932.9,28543.3,1024,35.88,,1
0,0,12399.9,62589.0,1024,16.36,,5
1,0,20061.1,62622.3,1024,16.35,,5
4,0,8634.8,62568.7,1024,16.37,,5
2,0,20767.5,62610.8,1024,16.36,,5
3,0,32089.8,62598.6,1024,16.36,,5
0,1,3222.7,58047.0,925,15.94,,5
1,1,22312.3,64199.3,1024,15.95,,5
3,1,7066.7,64194.1,1024,15.95,,5
2,1,12897.7,64202.8,1024,15.95,,5
4,1,16896.3,64209.1,1024,15.95,,5
0,2,14708.0,63656.4,1024,16.09,,5
1,2,10417.4,61617.5,1024,16.62,,5
2,2,10930.9,61652.3,1024,16.61,,5
4,2,20372.2,61652.0,1024,16.61,,5
3,2,5098.4,61660.0,1024,16.61,,5
0,0,12653.1,62653.4,1024,16.34,,10
6,0,7374.7,62620.6,1024,16.35,,10
3,0,24592.6,62698.8,1024,16.33,,10
4,0,4333.6,62681.2,1024,16.34,,10
5,0,10083.1,62662.0,1024,16.34,,10
1,0,13963.7,62771.8,1024,16.31,,10
9,0,18636.3,62576.0,1024,16.36,,10
2,0,13455.5,62745.7,1024,16.32,,10
7,0,65974.1,110272.4,795,7.21,,10
8,0,81253.6,124488.8,1024,8.23,,10
0,1,4222.0,62164.3,1024,16.47,,10
4,1,4432.1,62170.0,1024,16.47,,10
3,1,5901.7,62182.2,1024,16.47,,10
6,1,8862.0,62196.3,1024,16.46,,10
5,1,8722.3,62253.6,1024,16.45,,10
1,1,31023.1,62250.9,1024,16.45,,10
3,2,2582.7,43544.3,719,16.51,,10
9,1,50465.4,110257.5,1024,9.29,,10
2,1,70760.8,124137.1,1024,8.25,,10
7,1,22622.8,76591.9,1024,13.37,,10
0,2,8684.0,62363.2,1024,16.42,,10
8,1,4777.4,62493.7,1024,16.39,,10
6,2,22761.9,62273.2,1024,16.44,,10
4,2,22965.1,62288.8,1024,16.44,,10
5,2,53137.0,106709.4,1024,9.6,,10
1,2,54938.3,111171.4,1024,9.21,,10
9,2,25096.8,72875.2,1024,14.05,,10
2,2,7584.1,59034.3,1024,17.35,,10
8,2,11648.9,58880.2,1024,17.39,,10
7,2,6608.9,59050.4,1024,17.34,,10
